"id","budget","original_language","popularity","release_date","revenue","status","vote_average","vote_count"
19995,237000000,"en",150.437577,2009-12-10,2787965087,"Released",7.2,11800
285,300000000,"en",139.082615,2007-05-19,9.61e+08,"Released",6.9,4500
206647,245000000,"en",107.376788,2015-10-26,880674609,"Released",6.3,4466
49026,250000000,"en",112.31295,2012-07-16,1084939099,"Released",7.6,9106
49529,260000000,"en",43.926995,2012-03-07,284139100,"Released",6.1,2124
559,258000000,"en",115.699814,2007-05-01,890871626,"Released",5.9,3576
38757,260000000,"en",48.681969,2010-11-24,591794936,"Released",7.4,3330
99861,280000000,"en",134.279229,2015-04-22,1405403694,"Released",7.3,6767
767,250000000,"en",98.885637,2009-07-07,933959197,"Released",7.4,5293
209112,250000000,"en",155.790452,2016-03-23,873260194,"Released",5.7,7004
1452,270000000,"en",57.925623,2006-06-28,391081192,"Released",5.4,1400
10764,200000000,"en",107.928811,2008-10-30,586090727,"Released",6.1,2965
58,200000000,"en",145.847379,2006-06-20,1065659812,"Released",7,5246
57201,255000000,"en",49.046956,2013-07-03,89289910,"Released",5.9,2311
49521,225000000,"en",99.398009,2013-06-12,662845518,"Released",6.5,6359
2454,225000000,"en",53.978602,2008-05-15,419651413,"Released",6.3,1630
24428,220000000,"en",144.448633,2012-04-25,1519557910,"Released",7.4,11776
1865,380000000,"en",135.413856,2011-05-14,1045713802,"Released",6.4,4948
41154,225000000,"en",52.035179,2012-05-23,624026776,"Released",6.2,4160
122917,250000000,"en",120.965743,2014-12-10,956019788,"Released",7.1,4760
1930,215000000,"en",89.866276,2012-06-27,752215857,"Released",6.5,6586
20662,200000000,"en",37.668301,2010-05-12,310669540,"Released",6.2,1398
57158,250000000,"en",94.370564,2013-12-11,958400000,"Released",7.6,4524
2268,180000000,"en",42.990906,2007-12-04,372234864,"Released",5.8,1303
254,207000000,"en",61.22601,2005-12-14,5.5e+08,"Released",6.6,2337
597,200000000,"en",100.025899,1997-11-18,1845034188,"Released",7.5,7562
271110,250000000,"en",198.372395,2016-04-27,1153304495,"Released",7.1,7241
44833,209000000,"en",64.928382,2012-04-11,303025485,"Released",5.5,2114
135397,150000000,"en",418.708552,2015-06-09,1513528810,"Released",6.5,8662
