"id","title","production_countries"
19995,"Avatar","United States of America"
19995,"Avatar","United Kingdom"
285,"Pirates of the Caribbean: At World's End","United States of America"
206647,"Spectre","United Kingdom"
206647,"Spectre","United States of America"
49026,"The Dark Knight Rises","United States of America"
49529,"John Carter","United States of America"
559,"Spider-Man 3","United States of America"
38757,"Tangled","United States of America"
99861,"Avengers: Age of Ultron","United States of America"
767,"Harry Potter and the Half-Blood Prince","United Kingdom"
767,"Harry Potter and the Half-Blood Prince","United States of America"
209112,"Batman v Superman: Dawn of Justice","United States of America"
1452,"Superman Returns","United States of America"
10764,"Quantum of Solace","United Kingdom"
10764,"Quantum of Solace","United States of America"
58,"Pirates of the Caribbean: Dead Man's Chest","Jamaica"
58,"Pirates of the Caribbean: Dead Man's Chest","United States of America"
58,"Pirates of the Caribbean: Dead Man's Chest","Bahamas"
58,"Pirates of the Caribbean: Dead Man's Chest","Dominica"
57201,"The Lone Ranger","United States of America"
49521,"Man of Steel","United Kingdom"
49521,"Man of Steel","United States of America"
2454,"The Chronicles of Narnia: Prince Caspian","Czech Republic"
2454,"The Chronicles of Narnia: Prince Caspian","Poland"
2454,"The Chronicles of Narnia: Prince Caspian","Slovenia"
2454,"The Chronicles of Narnia: Prince Caspian","United States of America"
24428,"The Avengers","United States of America"
1865,"Pirates of the Caribbean: On Stranger Tides","United States of America"
41154,"Men in Black 3","United States of America"
122917,"The Hobbit: The Battle of the Five Armies","New Zealand"
122917,"The Hobbit: The Battle of the Five Armies","United States of America"
1930,"The Amazing Spider-Man","United States of America"
20662,"Robin Hood","United Kingdom"
20662,"Robin Hood","United States of America"
57158,"The Hobbit: The Desolation of Smaug","New Zealand"
57158,"The Hobbit: The Desolation of Smaug","United States of America"
2268,"The Golden Compass","United Kingdom"
2268,"The Golden Compass","United States of America"
254,"King Kong","New Zealand"
254,"King Kong","United States of America"
254,"King Kong","Germany"
597,"Titanic","United States of America"
271110,"Captain America: Civil War","United States of America"
44833,"Battleship","United States of America"
135397,"Jurassic World","United States of America"
37724,"Skyfall","United Kingdom"
37724,"Skyfall","United States of America"
558,"Spider-Man 2","United States of America"
68721,"Iron Man 3","China"
68721,"Iron Man 3","United States of America"
12155,"Alice in Wonderland","United States of America"
36668,"X-Men: The Last Stand","Canada"
36668,"X-Men: The Last Stand","United Kingdom"
36668,"X-Men: The Last Stand","United States of America"
62211,"Monsters University","United States of America"
8373,"Transformers: Revenge of the Fallen","United States of America"
91314,"Transformers: Age of Extinction","United States of America"
68728,"Oz: The Great and Powerful","United States of America"
102382,"The Amazing Spider-Man 2","United States of America"
20526,"TRON: Legacy","United States of America"
49013,"Cars 2","United States of America"
44912,"Green Lantern","United States of America"
10193,"Toy Story 3","United States of America"
534,"Terminator Salvation","Germany"
534,"Terminator Salvation","Italy"
534,"Terminator Salvation","United Kingdom"
534,"Terminator Salvation","United States of America"
168259,"Furious 7","Japan"
168259,"Furious 7","United States of America"
72190,"World War Z","United States of America"
72190,"World War Z","Malta"
127585,"X-Men: Days of Future Past","United Kingdom"
127585,"X-Men: Days of Future Past","United States of America"
54138,"Star Trek Into Darkness","United States of America"
81005,"Jack the Giant Slayer","United States of America"
64682,"The Great Gatsby","United States of America"
64682,"The Great Gatsby","Australia"
9543,"Prince of Persia: The Sands of Time","United States of America"
